Query,Additional Keywords,Events & Sections Used,,Overall Evaluation Attempt 1,,Attempt 2,,Attempt 3,,Average,,Winner
,,Stage1,Stage1&2,Stage1,Stage1&2,Stage1,Stage1&2,Stage1,Stage1&2,Stage1,Stage1&2,
,,,,,,,,,,,,
What are the technical specs of the Nintendo Switch 2 game console?,"Performance, Resolution, Storage, Graphics, Processor",2 events and 5 sections,2 events and 4 sections,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,
Compare the features of Nintendo Switch 2 to the original Nintendo Switch,"Performance, Display, Battery, Storage, Resolution",2 events and 6 sections,2 events and 5 sections,3.8,3.8,3.2,3.4,3.6,3.8,3.5,3.7,2
Tell me which wildlife conservation efforts were undertaken in 2025," Racing, Team, Success, Formula, Championship",2 events and 6 sections,5 events and 8 sections,4,4,4.2,4.2,4.2,4,4.1,4.1,
What are the achievements of  Prema Racing?,"Championships, Successes, Racing, Teams, Victories",4 events and 9 sections,3 events and 10 sections,2,2.8,2.8,2.8,1.8,2,2.2,2.5,2
Tell me about the recent advances in AI and LLMs in 2024 and 2025. Give me their dates too.,"neural, transformer, multimodal, explainability, reinforcement.",5 events and 10 sections,5 events and 10 sections,4,3.2,3,2.8,3.2,3,3.4,3.0,1
Was Neuralink used in the human brain? Tell me more about advances in Neuralink from 2024 to 2025.,"Neuralink, Brain, Implant, Stimulation, Interface",5 events and 8 section,5 events and 10 sections,3.4,4.6,3.2,4.4,3.2,4.6,3.3,4.5,2
Why does the Cybersecurity Law have a specific provision targeting Virtual Private Networks (VPNs)?,"Encryption, Surveillance, Blocking, Access, Restrictions",2 events and 3 sections,2 events and 3 sections,4.2,4.2,4,4,4.1,4.1,4.1,4.1,
What were the estimated costs of repairing the damaged Estlink 2 cable,"Costs, Damage, Repair, Cable, Estimate",5 events and 5 sections,5 events and 9 sections,2.6,2,2.8,2.4,2.8,2.4,2.7,2.3,1
What were the consequences of the increased seismic activity and magmatic dyke intrusion event on the local community and infrastructure in central Ethiopia?,"Damage, Evacuation, Landslides, Infrastructure, Displacement",5 events and 9 sections,5 events and 10 sections,2.8,3.2,2.6,3.4,2.4,3.4,2.6,3.3,2
How did the flooding in the Dima Hasao district contribute to the mining disaster?,"Landslide, Heavy, Rainfall, Erosion, Collapse",2 events and 3 sections,4 events and 7 sections,2.4,3.6,2.6,3.8,2.4,3.8,2.5,3.7,2
What was the consequences of PM Modi's diplomacy with Maldives?,"Strategic, Economic, Environmental, Regional, Diplomatic",4 events and 8 sections,5 events and 7 sections,3.4,3,3.4,3,3.4,3.4,3.4,3.1,1
Tell me the journey of Mamdani becoming the mayor of New York.,"Election, Politics, Mayor, Candidate, Governor",2 events and 7 sections,4 events and 7 sections,3.2,4.2,3,3.8,3.2,4.4,3.1,4.1,2
What was the impact on Sri Lanka's infrastructure and housing due to Cyclone Ditwah?,"Damage, Destruction, Flooding, Storms, Devastation",5 events and 8 sections,5 events and 7 sections,3.8,3.2,4.4,3.8,4.4,3.6,4.2,3.5,1
Why did Ocean Infinity propose a renewed search?,"Search, Investigation, Discovery, Expedition, Accident",3 events and 6 sections,3 events and 6 sections,4,4,4,4,4,4,4.0,4.0,
Tell me how global warming caused multiple floods in 2024 to 2025.,"Climate, Extreme, Cyclones, Heavy, Intensification",5 events and 12 sections,5 events and 9 sections,3.2,3.4,3.2,3.4,3.4,3,3.3,3.3,
What was the scale of the earthquake in Yilan County?,"Intensity, Magnitude, Depth, Tsunami, Damage",2 events and 4 sections,2 events and 10 sections,4.4,3.4,4.2,3.2,4.4,3.4,4.3,3.3,1
Tell me the timeline of tariffs in the Trump administration.,"trade, protectionism, China, NAFTA, renegotiation",2 events and 8 sections,2 events and 9 section,2.8,2.8,3.2,3.2,3,3,3.0,3.0,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Total 1,5,,,,,,,,,,
,Total 1+2,6,,,,,,,,,,
